Comando					Aplicación
clear					Limpiar pantalla
git add .               Agrega todos los archivos pendientes
git add archivo.ext.	agrega el archivo para commit
git branch login        crea una rama: "login"
git branch -d login     eliminar la rama: "login"
git checkout id         Mueve el puntero a ese commit
git commit -m "coment"	agrega Commit
git log					mostrar el log
git merge               fusionar los archivos de la rama activa a otra rama
git reset               para borrar lo no commit
git reset -hard         para borrar inclusive archivos con Commit
git switch login        para cambiarse a la rama "login"  
git stash               para guardar temporalmente, un commit a medias
git stash drop          Borra lo guardado en el stash
git stash list          Listar lo pendiente del stash  
git stash pop           Guardar y finalizar el stash          
git status				muestra el estatus de trabajo
ls						directorio



